Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4u7","SMD-0805",147.5700,-86.1370,-90.0000,bottom
"C2","12p","SMD-0805",156.9680,-96.4240,-90.0000,bottom
"C3","100nF","SMD-0805",158.8730,-88.8040,90.0000,bottom
"C5","100nF","SMD-0805",172.8430,-81.1840,90.0000,bottom
"C6","10uF","SMD-0805",170.3030,-81.1840,90.0000,bottom
"C7","100nF","SMD-0805",160.7780,-95.1540,0.0000,bottom
"C8","330nF","SMD-0805",160.1430,-92.1060,180.0000,bottom
"C9","100nF","SMD-0805",161.4130,-88.8040,90.0000,bottom
"C10","10uF","SMD-0805",160.7526,-97.0082,0.0000,bottom
"C11","510pF","SMD-0805",168.7790,-93.1220,90.0000,bottom
"C12","560pF","SMD-0805",175.5100,-90.9630,90.0000,bottom
"C13","150pF","SMD-0805",169.9728,-85.2988,90.0000,bottom
"C14","330nF","SMD-0805",172.7160,-84.3082,0.0000,bottom
"C15","1u","SMD-0805",144.1156,-85.4639,90.0000,bottom
"R1","4k7","SMD-0805",147.5700,-82.4540,90.0000,bottom
"R2","4k7","SMD-0805",143.1123,-88.1690,180.0000,bottom
"R3","2M","SMD-0805",155.0630,-96.4240,90.0000,bottom
"R4","2M","SMD-0805",152.5230,-92.9950,90.0000,bottom
"R5","3k3","SMD-0805",163.8260,-93.2490,90.0000,bottom
"R6","10k","SMD-0805",171.1920,-93.1220,90.0000,bottom
"R7","1k5","SMD-0805",166.2390,-93.2490,90.0000,bottom
"R8","2k","SMD-0805",173.2240,-90.9630,90.0000,bottom
"R9","2k","SMD-0805",169.9728,-88.6516,90.0000,bottom
"R10","3k9","SMD-0805",172.0048,-87.0514,90.0000,bottom
"R11","10k","SMD-0805",175.3576,-87.1530,-90.0000,bottom
"R12","4k7","SMD-0805",144.1410,-90.0740,180.0000,bottom
"U2","AD8692","SOIC-8-N",165.8580,-86.2640,180.0000,bottom
