Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4u7","C_0805_2012Metric",147.5700,-86.1370,-90.0000,bottom
"C2","12p","C_0805_2012Metric",156.9680,-96.4240,-90.0000,bottom
"C3","100nF","C_0805_2012Metric",158.8730,-88.8040,90.0000,bottom
"C4","1pF/NP0 251R15S1R0AV4E","C_0805_2012Metric",150.2876,-93.4351,90.0000,bottom
"C5","100nF","C_0805_2012Metric",172.8430,-81.1840,90.0000,bottom
"C6","10uF","C_0805_2012Metric",170.3030,-81.1840,90.0000,bottom
"C7","100nF","C_0805_2012Metric",160.7780,-95.1540,0.0000,bottom
"C8","330nF","C_0805_2012Metric",160.1430,-92.1060,180.0000,bottom
"C9","100nF","C_0805_2012Metric",161.4130,-88.8040,90.0000,bottom
"C10","10uF","C_0805_2012Metric",160.7526,-97.0082,0.0000,bottom
"C11","510pF","C_0805_2012Metric",168.7790,-93.1220,90.0000,bottom
"C12","560pF","C_0805_2012Metric",175.5100,-90.9630,90.0000,bottom
"C13","150pF","C_0805_2012Metric",169.9728,-85.2988,90.0000,bottom
"C14","330nF","C_0805_2012Metric",172.7160,-84.3082,0.0000,bottom
"C15","1u","C_0805_2012Metric",144.1156,-85.4639,90.0000,bottom
"Q1","2SK2394-6","SOT-23",154.4000,-86.0000,-90.0000,bottom
"R1","4k7","R_0805_2012Metric",147.5700,-82.4540,90.0000,bottom
"R2","4k7","R_0805_2012Metric",143.1123,-88.1690,180.0000,bottom
"R3","2M","R_0805_2012Metric",155.0630,-96.4240,90.0000,bottom
"R4","2M","R_0805_2012Metric",152.5106,-93.3801,90.0000,bottom
"R5","3k3","R_0805_2012Metric",163.8260,-93.2490,90.0000,bottom
"R6","10k","R_0805_2012Metric",171.1920,-93.1220,90.0000,bottom
"R7","1k5","R_0805_2012Metric",166.2390,-93.2490,90.0000,bottom
"R8","2k","R_0805_2012Metric",173.2240,-90.9630,90.0000,bottom
"R9","2k","R_0805_2012Metric",169.9728,-88.6516,90.0000,bottom
"R10","3k9","R_0805_2012Metric",172.0048,-87.0514,90.0000,bottom
"R11","10k","R_0805_2012Metric",175.3576,-87.1530,-90.0000,bottom
"R12","4k7","R_0805_2012Metric",143.8230,-90.3865,180.0000,bottom
"U2","AD8692","SOIC-8-N",165.8580,-86.2640,180.0000,bottom
